city,Neighbourhood,walk_score,transit_score,bike_score,population
LA,Encino,47,35,40,"44,100"
LA,Woodland Hills-Warner Center,46,40,40,"70,032"
LA,Mission Hills,46,39,49,"22,594"
LA,North Hills West,46,36,49,"20,973"
LA,Arleta,45,39,50,"35,422"
LA,Sylmar,45,39,38,"78,941"
LA,Arroyo Seco,43,45,33,"22,718"
LA,Elysian Valley Riverside,42,50,57,"6,888"
LA,Granada Hills,41,27,37,"53,133"
LA,West Hills,41,34,43,"38,643"
LA,Pacific Palisades,36,27,23,"25,279"
LA,Foothill Trails,23,32,20,"20,762"
LA,Porter Ranch,22,8,18,"20,738"
LA,Bel Air-Beverly Crest,14,18,7,"27,181"
LA,Terminal Island,4,1,27,"1,045"
